review_id,student_id,course_id,rating,review,review_date
1,1,13,7,Good pace and clear explanations.,2026-04-15
2,2,14,4,Could use more examples.,2026-04-24
3,3,1,4,Good pace and clear explanations.,2026-03-08
4,4,25,9,Could use more examples.,2026-03-13
5,4,29,6,"Great course, learned a lot!",2026-05-08
6,5,22,5,Excellent instructor and content.,2026-04-18
7,6,1,5,Very informative and well-structured.,2026-03-21
8,7,1,2,Excellent instructor and content.,2026-04-03
9,8,17,4,Good pace and clear explanations.,2026-04-04
10,9,23,7,"Not what I expected, but still useful.",2026-03-19
11,10,9,8,"Great course, learned a lot!",2026-05-14
12,11,30,9,"Great course, learned a lot!",2026-05-06
13,12,2,1,"Great course, learned a lot!",2026-04-18
14,13,20,2,"Great course, learned a lot!",2026-05-08
15,14,23,2,"Great course, learned a lot!",2026-04-10
16,15,25,5,Could use more examples.,2026-05-01
17,16,29,3,Good pace and clear explanations.,2026-03-20
18,17,7,8,Good pace and clear explanations.,2026-05-27
19,18,25,4,"Not what I expected, but still useful.",2026-03-27
20,19,11,8,Very informative and well-structured.,2026-03-26
21,20,29,7,"Not what I expected, but still useful.",2026-04-08
22,21,21,10,Very informative and well-structured.,2026-05-17
23,22,14,10,Excellent instructor and content.,2026-03-07
24,23,27,8,"Not what I expected, but still useful.",2026-04-09
25,24,4,6,Highly recommend to others.,2026-05-09
26,25,15,3,Good pace and clear explanations.,2026-05-03
27,26,21,6,Could use more examples.,2026-03-01
28,27,5,4,Highly recommend to others.,2026-05-28
29,28,28,7,Too fast-paced for beginners.,2026-04-25
30,29,20,9,Excellent instructor and content.,2026-03-06
31,29,14,7,Could use more examples.,2026-04-27
32,29,12,9,Challenging but rewarding.,2026-05-13
33,30,7,10,Could use more examples.,2026-04-16
34,31,23,10,Could use more examples.,2026-04-19
35,32,10,4,Good pace and clear explanations.,2026-04-09
36,33,21,10,Too fast-paced for beginners.,2026-05-02
37,34,4,8,Too fast-paced for beginners.,2026-05-22
38,35,28,10,Good pace and clear explanations.,2026-04-06
39,36,19,8,Could use more examples.,2026-04-23
40,37,17,5,Highly recommend to others.,2026-04-19
41,38,22,6,Could use more examples.,2026-03-08
42,39,17,10,Challenging but rewarding.,2026-03-10
43,40,10,3,Could use more examples.,2026-04-24
44,41,13,5,"Great course, learned a lot!",2026-04-18
45,42,29,5,Challenging but rewarding.,2026-04-08
46,43,25,9,Very informative and well-structured.,2026-05-17
47,44,9,4,Loved the practical assignments.,2026-04-10
48,45,20,9,Excellent instructor and content.,2026-04-26
49,45,13,4,Challenging but rewarding.,2026-03-24
50,45,25,7,Excellent instructor and content.,2026-05-12
51,46,28,10,"Great course, learned a lot!",2026-03-08
52,47,28,2,"Great course, learned a lot!",2026-05-10
53,48,28,5,Highly recommend to others.,2026-05-06
54,49,28,2,Challenging but rewarding.,2026-04-25
55,50,18,2,"Not what I expected, but still useful.",2026-04-18
56,51,10,1,Highly recommend to others.,2026-03-10
57,52,18,9,"Great course, learned a lot!",2026-05-16
58,52,27,8,Challenging but rewarding.,2026-03-09
59,52,15,1,"Not what I expected, but still useful.",2026-03-21
60,53,6,8,"Not what I expected, but still useful.",2026-03-21
61,54,11,4,Good pace and clear explanations.,2026-04-06
62,55,6,4,Loved the practical assignments.,2026-05-23
63,56,25,10,Loved the practical assignments.,2026-05-21
64,57,6,9,Could use more examples.,2026-05-21
65,58,15,5,Highly recommend to others.,2026-05-16
66,59,1,3,Challenging but rewarding.,2026-04-28
67,60,25,5,Very informative and well-structured.,2026-05-06
